Nombre,Retuits,Fecha,Dia del año,Dia de la semana
marianorajoy,137,Fri Dec 08 14:59:39 CET 2017,342,Viernes,
marianorajoy,135,Fri Dec 08 14:47:30 CET 2017,342,Viernes,
marianorajoy,132,Fri Dec 08 14:23:18 CET 2017,342,Viernes,
marianorajoy,136,Wed Dec 06 22:30:32 CET 2017,340,Miércoles,
marianorajoy,109,Wed Dec 06 20:49:09 CET 2017,340,Miércoles,
marianorajoy,148,Wed Dec 06 16:48:17 CET 2017,340,Miércoles,
marianorajoy,148,Wed Dec 06 15:11:04 CET 2017,340,Miércoles,
marianorajoy,449,Wed Dec 06 14:45:27 CET 2017,340,Miércoles,
marianorajoy,1591,Wed Dec 06 10:36:18 CET 2017,340,Miércoles,
marianorajoy,327,Tue Dec 05 20:29:58 CET 2017,339,Martes,
marianorajoy,155,Tue Dec 05 19:10:22 CET 2017,339,Martes,
marianorajoy,239,Tue Dec 05 16:05:54 CET 2017,339,Martes,
marianorajoy,153,Tue Dec 05 15:25:51 CET 2017,339,Martes,
marianorajoy,199,Tue Dec 05 13:46:36 CET 2017,339,Martes,
marianorajoy,183,Tue Dec 05 12:37:04 CET 2017,339,Martes,
marianorajoy,227,Tue Dec 05 12:20:41 CET 2017,339,Martes,
marianorajoy,527,Mon Dec 04 20:54:14 CET 2017,338,Lunes,
marianorajoy,91,Mon Dec 04 18:46:35 CET 2017,338,Lunes,
marianorajoy,160,Mon Dec 04 14:28:20 CET 2017,338,Lunes,
marianorajoy,87,Mon Dec 04 14:12:30 CET 2017,338,Lunes,
marianorajoy,108,Mon Dec 04 14:07:19 CET 2017,338,Lunes,
marianorajoy,182,Mon Dec 04 14:00:57 CET 2017,338,Lunes,
marianorajoy,122,Mon Dec 04 13:57:12 CET 2017,338,Lunes,
marianorajoy,87,Mon Dec 04 13:49:49 CET 2017,338,Lunes,
marianorajoy,491,Sun Dec 03 12:06:51 CET 2017,337,Domingo,
marianorajoy,149,Sun Dec 03 11:51:53 CET 2017,337,Domingo,
marianorajoy,206,Sat Dec 02 19:33:51 CET 2017,336,Sábado,
marianorajoy,164,Sat Dec 02 17:06:12 CET 2017,336,Sábado,
marianorajoy,2263,Sat Dec 02 15:51:19 CET 2017,336,Sábado,
marianorajoy,180,Sat Dec 02 14:43:39 CET 2017,336,Sábado,
marianorajoy,147,Sat Dec 02 14:25:58 CET 2017,336,Sábado,
marianorajoy,126,Sat Dec 02 14:21:46 CET 2017,336,Sábado,
marianorajoy,122,Sat Dec 02 14:16:10 CET 2017,336,Sábado,
